code,title,overview,preconditions,branch_1_name,branch_1_variables,branch_1_rejoin,branch_1_rewards,branch_2_name,branch_2_variables,branch_2_rejoin,branch_2_rewards
A1,The Call,Conscription day in the Dims. Xal publicly defines his stance toward the Empire.,Start of game; tutorial movement complete; player has basic interact/stealth.,Obey the Call,Morality −1; Reputation.Hasran +1; Reputation.Outcasts −1.; Carryover: C/O:Obedient.,,,Resist publicly,Morality +1; Reputation.Hasran −1; Reputation.Outcasts +1; SaghirLoyalty +1 (latent sympathy).; Carryover: C/O:Defiant.,Converges at Barracks intro → Drills.,XP: small; Materials: ration set. Flags seeded: Obedient or Defiant tone.
A2,Saghir’s Rescue,A rat‑blood mage is marked for execution. Do you intervene or obey?,After the ‘Baptism by Fire’ skirmish; player has lock-on/dodge basics.,Rescue Saghir,"Morality +1; SaghirLoyalty +20; Reputation.Hasran −1; Reputation.Outcasts +1.; Unlock: Saghir tertiary kit immediately (Glyph Snap, Ward Pocket baseline).; Carryover: C/O:SaghirEarlyJoin.",,,Obey the order,Morality −1; SaghirLoyalty −5; Reputation.Hasran +1.; Saghir joins later at the Academy with reduced early kit access.; Carryover: C/O:SaghirDelayedJoin.,Both converge at Tribunal → Arena.,XP: medium; Unlock: Saghir kit (timing varies).
TEMPLE_ORDER,Temple Defense — Order Choice,Pick which demigod-linked assault to counter first: Dalanthar (Aegis) or Celeste (Pyre).,After Q13_TempleRecon; Act III.,Dalanthar first (Aegis),Morality +1; Carryover: C/O:Temple_First_Dalanthar.,,,Celeste first (Pyre),CatalystResonance +1; Carryover: C/O:Temple_First_Celeste.,Completion of both is required before Q16 Airship Heist; order modifies enemy mixes in the second temple and Siege.,XP: medium per temple; Materials: ward shards; vendor stock shifts based on collateral.
Q16,Spear of Jhordil — Airship Heist,Seize the last Elentian battleship to support the Siege with air routes and artillery.,After both temple defenses complete; Act V opener.,Stealth takeover,Morality +1; Carryover: C/O:Spear_Stealth.,,,Direct assault,CatalystResonance +2; Carryover: C/O:Spear_Assault.,Both converge at Bridge Control → Siege setup.,"XP: large; Unlocks: airship traversal and Siege objective variants (evac corridors for Stealth, extra ballistae for Assault)."
Q17,Spy in the Academy — Macha,Expose Macha as a Fomori spy and choose how to leverage her network.,Act II Academy hub after orientation.,Flip Macha (double agent),Reputation.Outcasts +1; Carryover: C/O:Macha_Double.,,,Burn the network,Reputation.Hasran +1; Reputation.Outcasts −1; Carryover: C/O:Macha_Burned.,Both branches unlock different paths in Outcast Quarter and modify Recon clarity in Act III.,XP: medium; Faction moves shape patrol heat and vendor pricing.
Q18,Siege of the Spire (G12 Breach Method),Defend the city and decide how to resolve the planar breach during the boss fight.,After Q15 Celeste & Q16 Airship; Act V.,Stabilize with wards,Morality +1; CatalystResonance +1; Reputation.Outcasts +1; Carryover: C/O:Breach_Stabilized.,,,Channel the rift,Morality −1; CatalystResonance +4; Reputation.Hasran +1; Carryover: C/O:Breach_Channeled.,Both branches end with Shard‑Tyrant collapse → Ritual Raid opens.,XP: large; Title tint: ‘Savior’ lean vs ‘Void‑Touched’ lean for epilogue.
Q19,God‑Souled Hunt — Ritual Raid,The cult seeks five god‑souled to evolve the arena. Stop them with rescues or decoys.,After Siege; Act VI opener.,Protect the targets,Morality +1; Carryover: C/O:GodSouls_Protected.,,,Use decoys,CatalystResonance +2; Morality −1; Carryover: C/O:GodSouls_Decoy.,Converges at Conduit finale (A4).,XP: large; Reputation deltas based on civilian casualties tracked this chapter.
Q20,Erik and the Morrigan,"A political gambit withholds fleets, leaving Erik to face the Morrigan alone.",After Q17 Macha; before Q21 Lake Ambush; Act IV.,Intervene,Morality +1; Reputation.Outcasts +1; Carryover: C/O:Erik_Saved.,,,Stand aside,Reputation.Hasran +2; Morality −1; Carryover: C/O:Erik_Alone.,Feeds Q21 Lake Ambush tone and faction presence.,XP: medium; changes patrol heat and vendor pricing.
Q21,Catalyst Ambush at the Lake,A planned ambush around a Catalyst threatens Erik’s quint; choose tactics.,After Q20; closes Act IV loop before Siege prep.,Hold the line,Morality +1; SaghirLoyalty +3; Carryover: C/O:Lake_Hold.,,,Break contact,Reputation.Hasran +1; Carryover: C/O:Lake_Break.,"Converges into Temple Order if not yet completed, else moves to Siege prep state.",XP: medium; Materials: field kits; faction perception adjusted.
E13,Refugee Priority,Decide relief strategy for the Outcast Quarter during the crisis.,During Act IV hub setup; before Siege escalation.,Evacuate families first,Morality +1; Reputation.Outcasts +2; Reputation.Hasran −1; Carryover: C/O:RefugeesSafe.,,,Secure armories first,Reputation.Hasran +2; Reputation.Outcasts −1; CatalystResonance +1; Carryover: C/O:ArmsSecured.,Impacts Siege spawn weights and vendor stock in the hub.,XP: medium; unlocks vendors based on outcome.
A3,Arena Ethos,Win the arena trial to secure Academy admission; define your public image.,Act I Arena sequence.,Win with restraint,Morality +1; CatalystResonance +2; Carryover: C/O:PrecisionBias.,,,Win with fury,Morality −1; CatalystResonance +5; Carryover: C/O:CorruptionBias.,Both routes lead to Academy Invite with tailored VO lines.,XP: medium; public nickname and initial vendor prices vary.
A4,Conduit Decision,Final choice at the ritual conduit; determines ending tint and strong CR swing.,Act VI finale after Ritual Raid ‘God‑Souled’.,Destroy the conduit,Morality +1; CatalystResonance +2; Carryover: C/O:SaviorState.,,,Absorb the conduit,Morality −1; CatalystResonance +8; Carryover: C/O:VoidTouchedState.,Ends Act VI → Epilogue variations (Savior vs Void‑Touched).,XP: boss-tier; tint & VO change for credits stinger.
